Text	Author	Source
Everything flows and nothing abides. Everything gives way and nothing stays fixed.	Heraclitus	
To do the useful thing, to say the courageous thing, to contemplate the beautiful thing: that is enough for one man’s life	TS Elliot	The Use of Poetry and the Use of Criticism
Bite off more than you can chew and then chew like crazy.	Crocodile Dundee	
Most people are other people. Their thoughts are someone else's opinions, their lives a mimicry, their passions a quotation.	Oscar Wilde	
Only those who risk going too far can possibly find out how far they can go.	TS Elliot	
Mediocrity knows nothing higher than itself. Talent instantly recognises genius.	Sir Arthur Conan Doyle 	
Snowmen fall to Earth unassembled	Raymond Aaron	
When we're away from home, we're all inclined to think we left a paradise behind	Johann von Goethe	Faust
All who joy would win must share it. Happiness was born a twin	Byron	
You cannot truly listen to anyone and do anything else at the same time.	M. Scott Peck	
Do your work; not just your work and no more. But a little more for the lavishing's sake. That little which is worth all the rest.  And if you suffer, as you must, and if you doubt, as you must, do your work. Put your heart into it, and the sky will clear. Then out of your doubt and suffering will be born the supreme joy of life.	Dean Briggs	
Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth.	Marcus Aurelius	
There are two ways to be fooled. One is to believe what isn't true; the other is to refuse to believe what is true.	Soren Kierkegaard	
My grief lies onward, my joy behind.	William Shakespeare	Sonnets
Savor the fruit of life, my young friends. It has a sweet taste when it is fresh from the vine. But don't live too long. The taste turns bitter... after a time.	Kor	StarTrek:Deep Space Nine
Most people overestimate what they can do in a day, and underestimate what they can do in a month. We overestimate what we can do in a year, and underestimate what we can accomplish in a decade	Matthew Kelly	The Long View
I was obliged to be industrious. Whoever is equally industrious will succeed equally well.	JS Bach	
We learn from history that we learn nothing from history.	Georg Wilhelm Friedrich Hegel	
Care about what other people think and you will always be their prisoner.	Lao Tzu	
Success breed complacency. Complacency breeds failure. Only the paranoid survives.	Andy Gorves	
What we need, we, is fixedness intense, Unequalled effort, strive that shall not cease, Is night, the bitter night of labour, whence Arises, sun-like, slow, the Master-piece.	Paul Verlaine	
Throughout the whole of life one must continue to learn to live. And what will amaze you even more, throughout life one must learn to die.	Seneca	
If you're not part of the solution, you're part of the problem.	Eldridge Cleaver	
Those things that hurt instruct.	Benjamin Franklin	
But what matters an eternity of damnation to one who has found in a second an infinite joy.	Charles Baudelaire	
To do the useful thing, to say the courageous thing, to contemplate the beautiful: that is enough for one man's life.	T.S. Eliot	The Use of Poetry and Use of Criticism
And I’m her arms and in her heaving breasts, She calls men’s eyes to be her servile guests	Charles Baudelaire	Flowers of Evil
She calls men’s eyes to be her servile guests	Viktor Frankl	Man's search for meaning
Control thy passions lest they take vengeance on thee.	Epictetus	
I am an enigma to myself.	Augustine	
Wie viel ist aufzuleiden!	Rilke	
It doesn't really matter we expect from life, but rather what life expects of us.	Viktor Frankl	Man's Search For Meaning
Suffering ceases to be suffering the moment it has a meaning.	Viktor Frankl	Man's Search For Meaning
I care not so much what I am to others as what I am to myself.	Michel de Montaigne	
May my soul bloom in love for all existence.	Rudolf Steiner	
The descent to Hades is the same from every place.	Axanagoras	
A ceremony in which rings are put on the finger of the lady and through the nose of the gentleman.	Herbert Spencer	
There are things which must cause you to lose your reason or you have none to lose.	Lessing	
Tyranny is always better organised than freedom.	Charles Peguy	
Gambling is the child of avarice, the brother of iniquity and the father of mischief.	George Washington	
Accept what is, let go of what was, have faith in what will be.	Pammy Johal	
Performance drives success. But when performance can't be measured, networks drive success.	Albert-Laszlo Barabasi	
He who listens well notes well what he hears.	Dante	Canto XV, The Divine Comedy: Inferno
Wrong it is for a man to have again what he once cast off.	Dante	Canto XIII, The Divine Comedy: Inferno
Wealth cannot be what we want, for it serves only as a means of getting something else.	Aristotle	
It is the mark of an educated mind to be able to entertain a thought without accepting it.	Aristotle	
The ultimate effect of shielding men from the effects of folly is to fill the world with fools.	Herbert Spencer	
The aim of education is not knowledge but action.	Herbert Spencer	
What is the joy of a life without sadness?	Unknown	
You may delay but time will not. And lost time is never found again.	Benjamin Franklin	
Conquer yourself rather than the world.	Réné Descartes	
Neglect is the coldest of winter winds.	Thomas Hardy	Desperate Remedies
Too many have dispensed with generosity in order to practice charity.	Albert Camus	
How true it is that proffered service stinks.	Geoffrey Chaucer	The Cantebury Tales
Manifest plainness; Embrace simplicity, reduce selfishness, have few desires.	Lao Tzu	
Progress is impossible without change, and those who cannot change their minds cannot change anything.	George Bernard Shaw	
The life of man, solitary, poor, nasty, brutish and short.	Thomas Hobbes	
We must as second best accept the least of the evils.	Aristotle	
Be moderate in order to taste the joys of life in abundance.	Epicurus	
In the depth of winter, I learned that within me lay an invincible summer.	Albert Camus	
Discretion in speech is more than eloquence.	Sir Francis Bacon	
Be ready to pay the price of your dreams. Free cheese can only be found in a mousetrap.	Paulo Coelho	
Night does not cover our troubles, it brings them to the mind.	Seneca	
Every battle is won before it is begun.	Sun-Tzu	
Character, like a photograph, develops in darkness.	Yousuf Karsh	
Happiness is a state of activity.	Aristotle	
So very difficult a matter is it to trace and find out the truth of anything by history.	Plutarch	
The wicked act begets more after it.	Aeschylus	
If only the fool would persist in his folly, he would become wise.	William Blake	
Those who would give up essential liberty to purchase a little temporary safety deserve neither liberty nor safety.	Benjamin Franklin	
We can solve any problem by introducing an extra level of indirection.	David Wheeler	
Of all the sexual aberrations, chastity is the strangest.	Anatole France	
Pity runs swiftly in a noble heart.	Geoffrey Chaucer	The Knight's Tale, The Cantebury Tales
Hope is not a strategy. Luck is not a factor. Fear is not an option.	James Cameron	
Do not spoil what you have by desiring what you have not; remember that what you now have was once among the things you only hoped for.	Epicurus	
Burn old dogs. Drink old wine. Read old books. Keep old friends.	Alfonso X (King of Spain)	
Quis custodiet ipsos custodes?	Latin phrase	
Use laws that are old but food that is fresh.	Periander of Corinth	
There's nothing remarkable about it. All one has to do is hit the right keys at the right time and the instrument plays itself.	Johan Sebastian Bach	
Not my circus. Not my monkeys.	Polish Proverb	
Praxis tendatum docebit - Practice will teach those who try.	Carl Friedrich Gauß	
We made the wrong mistake.	Yogi Berra	
To laugh often and much; to win the respect of the intelligent people and the affection of children; to earn the appreciation of honest critics and endure the betrayal of false friends; to appreciate beauty; to find the beauty in others; to leave the world a bit better whether by a healthy child, a garden patch, or a redeemed social condition; to know that one life has breathed easier because you lived here. This is to have succeeded.	Ralph Waldo Emerson	
The firmest faith is in the fewest words.	Dyer	
Content makes poor men rich; discontent makes rich men poor.	Benjamin Franklin	
What has been will be again, what has been done will be done again, there is nothing new under the sun.	Ecclesiastes 1:9	
Contentment is a rare bird, but it sings sweetly in the breast.	Martin Luther	
Between two evils, I generally like to pick the one I haven't tried before.	Mae West	
Nothing tastes as good as skinny feels.	Kate Moss	
A man is rich in proportion to the things he is willing to let alone.	Henry David Thoreau	
Money is coined liberty	Fyodor Dostoesvsky	
Be a philosopher, but, admidst all your philosophy, be still a man.	David Hume	
Reason is, and ought only to be, the slave of the passions.	David Hume	
It is difficult to free fools from the chains they revere.	Voltaire	
A classic is something everybody wants to have read, but no one wants to read.	Mark Twain	
You don't know anything until you have practiced.	Richard Feynman	
A politician who lives by cleaniness dies by dirt	Theodore Dalrymple	
Everything should be made as simple as possible, but not simpler.	Albert Einstein	
Life shrinks or expands in proportion to one’s courage	Anaïs Nin	
For every complicated problem there is a solution that is simple, direct, understandable and wrong	H. I. Menchen	
Everything has been said before, but since no one listens, we must start again.	André Gide	
Toutes choses sont dites déja; mais comment personne n'écoute, if faut toujours recommencer	André Gide	
Trust none of what you hear, some of what you read, half of what you see.	Old trader adage	
All movements go too far.	Bertrand Russell	
How much there is in the world I do not want.	Socrates	
It's not supposed to be easy. Anybody who finds it easy is stupid.	Charlie Munger	
It is a sad thing when men have neither the wit to speak well nor the judgement to hold their tongues.	Jean de la Bruyere	
I mistrust all systemizers and avoid them. The will to a system is a lack of integrity.	Friedrich Nietzsche	
Never mistake activity for achievement	John Wooden	
Know thy self, know thy enemy. A thousand battles, a thousand victories.	Sun-Tzu	
Choose the life that is most useful, and habit will make it the most agreeable.	Sir Francis Bacon	
The fool generalizes the particular; the nerd particularizes the general; some do both; and the wise does does neither	Nassim Nicholas Taleb	
He who despairs over an event is a coward, but he who holds hope for the human condition is a fool.	Albert Camus	
The greatest challenge to any thinker is stating the problem in a way that will allow a solution.	Bertrand Russell	
A likely impossibility is always preferable to an unconvincing possibility.	Aristotle	
Over one's mind and over one's body the individual is sovereign.	John Stuart Mill	
No price is too high to pay for the privilege of owning yourself.	Friedrich Nietzsche	
Our greatest fear should not be of failure, but of succeeding at something that doesn't really matter.	D.L. Moody	
The greater danger for most of us lies not in setting our aim too high and falling short; but in setting our aim too low, and achieving our mark.	Michaelangelo	
Play always as if in the presence of a master.	Robert Schumann	
Nothing is so firmly believed as that which we least know.	Michel de Montaigne	
Life has its own hidden forces that can only be discovered by living.	Soren Kierkegaard	
It’s not how well you play the game, it’s deciding what game you want to play.	Kwame Appiah	
If you would only recognize that life is hard, things would be so much easier for you.	Justice Louis Brandeis	
Until you make the unconscious conscious, it will direct your life and you will call it fate.	Carl Jung	
Time is the most valuable thing a man can spend.	Theophrastus	
I count him braver who overcomes his desires than him who overcomes his enemies.	Aristotle	
The limits of my language mean the limits of my world.	Ludwig Wittgenstein	
Commitment is doing the thing you said you were going to do long after the mood you said it in has left you.		
In his errors a man is true to type. Observe the errors and you will know the man.	Confucius	
We must accept finite disappointment. But never lose infinite hope.	Dr Martin Luther King Jr.	
Injustice anywhere is a threat to justice everywhere.	Dr. Martin Luther King Jr.	
The man of petty ambition if invited to a dinner would be eager to be set next to his host.	Theophrastus	
Do not impose on others what you yourself do not desire.	Confucius	
It is nobler to declare oneself wrong than to insist on being right - especially when one is right.	Friedrich Nietzsche	
Don't find fault, find a remedy; anybody can complain.	Henry Ford	
Nothing is more certain than the defeat of a man who gives up.	George Sheenan	
Criticism is something we can avoid easily by saying nothing, doing nothing and being nothing.	Aristotle	
Choose a life that is most useful, and habit will make it the most agreeable.	Sir Francis Bacon	
There is but one cause of human failure. And that is man's lack of faith in his true self.	William James	
He that will not apply new remedies must expect new evils; for time is the greatest innovator.	Sir Francis Bacon	
Thinking is the hardest work there is, which is probably why so few people engage in it.	Henry Ford	
Thinking is easy. Acting is hard. But acting in accordance with your thinking is the hardest thing in the world.	Johann von Goethe	
I care not so much what I am to others as what I am to myself.	Michel de Montaigne	
When brothers agree, no fortress is so strong as their common life.	Antisthenes	
The most savage controversies are those about matters as to which there is no good evidence either way.	Bertrand Russell	
First do it, then do it right, then do it better.	Addy Osmani	
The best laid plans of mice and men often go astray.	Robert Burns	
Time has sharp teeth that destroy everything.	Simonides of Ceos	
In the confusion of all ranks, everyone appears to be what he is not.	Alexis de Tocqueville	
He who hesitates is lost.	Cato	
On n'est jamais heureux que dans le bonheur qu'on donne. Donner, c'est recevoir	Abbé Pierre	
The preservation of liberty is more about the way we hold our beliefs than the beliefs that we hold.	Robin Koerner	
In theory, there is no difference between theory and practice. But in practice, there is.	Yogi Berra, Al North	
Don't limit yourself to someone's opinion of your capabilities. Be you. Dream, plan, execute!	Steve Maraboli	
This too shall pass	Persian adage	
Nature is wont to hide herself.	Heraclitus of Ephesus	
Tolerance is the virtue of the man without convictions.	G.K. Chesterton	
A wise man sees as much as he ought, not as much as he can.	Michel de Montaigne	
Failure is when you talk yourself out of becoming something amazing.	Manisha Agarwal	
One should never know too precisely whom one has married.	Friedrich Nietzsche	
Men feel the good less intensely than the bad.	Livy	Livy's Annals
Madness is rare in individuals, but in groups, parties, nations, it is the rule.	Friedrich Nietzsche	
You can't build a reputation based on what you are going to do.	Henry Ford	
The trick is to fix the problem you have rather than the problem you want.	Bram Cohen	
There are some defeats more triumphant than victories.	Michel de Montaigne	
Liquidity is a coward. It's never there when you need it.	Unknown	
A man content to go to heaven alone will never go to heaven.	Boethius	
I'm altering the deal. Pray I don't alter it any further.	Darth Vader	
A man is not old until regrets take the place of his dreams.	Yiddish Proverb	
I believe your conjecture is slightly orthogonal to reality.	Charles Hoskinson	
Habit, if uncontrolled, becomes necessity.	St Augustine	
We know truth; not only by reason, but also by the heart.	Blaise Pascal	
Mudam-se os tempos, mudam-se os valores.	Luis de Camoes	
O ódio é como veneno; só funciona se voce beber.	Leandro Karnal	
Nao bate tambor para maluco dancar.	Leandro Karnal	
How can you think yourself a great man, when the first accident that comes along can wipe you out completely?	Euripides	
Criticising is easy. Creating something worth criticising is the hard part.	Kelsey Hightower	
What do we live for, if not to make life less difficult for each other?	George Elliot	
What the superior man seeks is in himself. What the mean man seeks is in others.	Confucius	
Do not weep. Do not wax indignant. Understand.	Baruch Spinoza	
Man needs difficulties; they are necessary for health.	Carl Jung	
When the debate is over, slander becomes the tool of the loser.	Socrates	
One should die proudly when it is no longer possible to live proudly.	Friedrich Nietzsche	
Seek not good from without: seek it from within yourselves, or you will never find it.	Epictetus	
It is a kind of spiritual snobbery that makes people think they can be happy without money.	Albert Camus	
The world is the will to power and nothing besides.	Friedrich Nietzsche	
Sympathy for all would be tiranny for thee, my good neighbour.	Eleanor Ostrom	
If you think you're enlightened, try spending a week with your family.	Ram Daas	
This world of ours appears to be separated by a slight and precarious margin of safety from a most singular and unexpected danger.	Arthur Conan Doyle	
Good fences make good neighbors.	Robert Frost	Mending Wall
What matters isn’t what a person has or doesn’t have; it is what he or she are afraid of losing.	Nassim Taleb	
We are generally the better persuaded by the reasons we discover ourselves than by those given to us by others.	Blaise Pascal	
Be sure to know the condition of your flocks, give careful attention to your herds; for riches do not endure forever, and a crown is not secure for all generations.	Proverbs 27:23-24	
A friend is a second self.	Aristotle	
Poverty has its freedoms; opulence has its obstacles.	Denis Diderot	
How many things by season season'd are...	William Shakespeare	The Merchant of Venice
Every society honours its live conformists and its dead troublemakers.	Mignon McLaughlin	
They may forget what you said but they will not forget how you made them feel.	Carl W Buechner	
Honour all men. Love the brotherhood. Fear God. Honour the king.	1 Peter 2:17	
The time is always right to do what is right.	Martin Luther King Jr.	
The souls of animals infuse themselves into the trunks of men.	Pythagoras	
I am always doing that which I can not do, in order that I may learn how to do it.	Pablo Picasso	
Work hard in silence. Let your success be your noise.	Frank Ocean	
But in the end one needs more courage to live than to kill himself.	Albert Camus	
Until the lions have their own historians, the history of the hunt will always glorify the hunters.	Chinua Achebe	
Laws come and go; the ethics stay.	Nassim Taleb	Why each one should eat his own turtles
There's no easier way to cure foolishness than leave a man to be foolish.	John Graham	Letters from a self-made merchant
Open rebuke is better than secret love.	Proverbs 27:5	
Every man prefers belief to the exercise of judgement.	Seneca	
All beginnings are delightful; the threshold is the place to pause.	Johann Wolfgang von Goethe	
A gem cannot be polished without friction, nor a man perfected without trials.	Seneca	
We are more frightened than hurt; and we suffer more from imagination than from reality.	Seneca	
I have often thought upon death, and I find it the least of all evils.	Francis Bacon	
All cruelty springs from weakness.	Seneca	
Those who make no mistakes are making the biggest mistake of all - they are attempting nothing new.	Anthony de Mello	
He suffers more than necessary, who suffers before it is necessary.	Seneca	
The whole future lies in uncertainty: live immediately.	Seneca	
Timendi causa est nescire - Ignorance is the cause of fear.	Seneca	
As is a tale, so is life: not how long it is, but how good it is, is what matters.	Seneca	
The man who has anticipated the coming of troubles takes away their power when they arrive.	Seneca	
Wherever there is a human being, there is an opportunity for a kindness.	Seneca	
All things that are, are with more spirit chased than enjoyed.	Shakespeare	The Merchant of Venice
Venenum in auro bibitur - Poison is drunk from a gold cup.	Seneca	
The brave may not live forever, but the cautious don't live at all.	Ashley L	
Hope in reality is the worst of all evils because it prolongs the torment of man.	Friedrich Nietzsche	
Never doubt that a small group of thoughtful citizens can change the world. Indeed, it is the only thing that ever has.	Margaret Mead	
The facts are true. The news is fake.	Donald Trump	
It is not wisdom but authority which makes the law.	Thomas Hobbes	
When you're forced to be simple, you're forced to face the real problem. When you can't deliver ornament, you have to deliver substance.	Paul Graham	
Education, therefore, is a process of living and not a preparation for future living.	John Dewey	
To dare is to lose one's footing momentarily. Not to dare is to lose oneself.	Soren Kierkegaard	
Science does not know its gratitude to imagination.	Ralph Waldo Emerson	
Even on the most exalted throne in the world we are still sitting on our own bottom.	Michel de Montaigne	
Patience is bitter but its fruit is sweet.	Aristotle	
Neither a lofty degree of intelligence nor imagination nor both go to the making of genius. Love, love, love is the soul of genius.	Wolfgang Amadeus Mozart	
Control thy passions, lest they take vengeance on thee.	Epictetus	
In order to understand the world, one has to turn away from it on occasion.	Albert Camus	
The greatest prison of all is the one our ego puts us in.	Shane Parrish	
Made weak by time and fate, but strong in will to strive, to seek, to find, and  not to yield.	Tennyson	
With the exercise of self-trust new powers shall appear.	Ralph Waldo Emerson	
Keep buggering on.	Sir Winston Churchill	
Behind mountains are more mountains.	Haitian Proverb	
Solvitur ambulando (It is solved by walking).	Latin Phrase	
You can't run your life from your inbox.	Arianna Huffington	
Nobody realizes that some people expend tremendous energy merely to be normal.	Albert Camus	
On te demandera de faire le mal oú que tu ailles. C'est le fondement de la vie: avoir a violer sa propre identite	Philip K. Dick	
The discomfort of being uncertain is preferable to the certainty of being wrong.	Shane Parrish	The Value of Grey Thinking - Farnam Street
The best political community is formed by citizens of the  middle class.	Aristotle	
Man is by nature a political animal.	Aristotle	
Objective judgement, now at this very moment. Unselfish action,now at this very moment. Willing acceptance - now at this very moment - of all external events. That is all you need.	Marcus Aurelius	
Nothing is more despicable than respect based on fear.	Albert Camus	
It is necessary to be a fox to discover the snares and a lion to terrify the wolves.	Niccolo Machiavelli	
Opinions are like belly buttons. Everybody's got one.	Unknown	
If everyone is thinking alike, then somebody isn't thinking.	George S. Patton	
It is not the oath that makes us believe a man, but the man the oath.	Aeschylus	
Life is short...Get what you can from the present - thoughtfully, justly. Unrestrained moderation.	Marcus Aurelius	
When you have to deal with someone, as yourself: What does he mean by good and bad? If he thinks x or y about pleasure and pain (and what produces them), about fame and disgrace, about death and life, then it shouldn't shock or surprise you when he does x or you. In fact, I'll remind myself that he has no real choice.	Marcus Aurelius	
Live by faith or die by fear.	Pastor Wes Richards	
...the present is all we have to live in. Or to lose.	Marcus Aurelius	
Give yourself a gift - the present moment.	Marcus Aurelius	
Self-control in the man who does not act wisely is by itself, the weakest of all things.	Aeschylus	
The man who moves a mountain begins by carrying away a small stone.	Confucius	
It is silly to try to escape other people's faults. They are inescapable. Just try to escape your own.	Marcus Aurelius	
But true good fortune is what you make for yourself.	Marcus Aurelius	
All men by nature desire knowledge.	Aristotle	
Learn to ask of all actions, 'Why are they doing that?'. Starting with your own.	Marcus Aurelius	
Our envy always lasts longer than the happiness of those we envy.	Heraclitus of Ephesus	
If you don't have a consistent goal in life, you can't live it in a consistent way.	Marcus Aurelius	
Everything is transitory - the knower and the known.	Marcus Aurelius	
The value of attentiveness varies in proportion to its object. You're better off not giving the small things more attention than they deserve.	Marcus Aurelius	
If you seek tranquility do less.	Marcus Aurelius	
Observe your enemies, for they first find your faults.	Antisthenes	
Try being informed, instead of just opinionated.	Unknown	
Epithets for yourself: Upright. Modest. Straightforward. Sane. Cooperative. Disinterested.	Marcus Aurelius	
You have to assemble your life yourself - action by action. And be satisfied if each one achieves its goal, as far as it can. No one can keep that from happening.	Marcus Aurelius	
Dig deep; the water is down there. And as long as you keep digging, it will keep bubbling up.	Marcus Aurelius	
Think of yourself as dead. You have lived your life. Now take what's left and live it properly.	Marcus Aurelius	
Blame no one. Set people straight, if you can. If not, just repair the damage.	Marcus Aurelius	
Pride is the burden of a foolish person.	Unknown	
The price of inaction is far greater than the cost of making a mistake.	Meister Eckhart	
Ego is the anaesthesia that deadens the pain of stupidity.	Unknown	
By definition government has no conscience. Sometimes it has a policy, but nothing more.	Albert Camus	
Practise even what seems impossible.	Marcus Aurelius	
It is essential to practice reading as an art.	Friedrich Nietzsche	
To fear love is to fear life; and those who fear life are already three parts dead.	Bertrand Russell	
Long I've held silence a remedy for harm.	Aeschylus	
Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.	Albert Einstein	
Human are driven by a perpetual and restless desire for power.	Thomas Hobbes	
People who cannot handle critique usually have a deeper problem than the one you are trying to point out.	Philosophy Muse	
No man was ever wise by chance.	Seneca	
There is nothing permanent except change.	Heraclitus of Ephesus	
Everything that one thinks about a lot becomes problematic.	Friedrich Nietzsche	
Be yourself; everyone else is already taken.	Oscar Wilde	
What is a rebel? A man who says no.	Albert Camus	
Don't explain your philosophy. Embody it.	Epictetus	
The mind is that which is roused and directed by itself. It makes of itself what it chooses. It makes what it chooses of its own experience	Marcus Aurelius	
The only true wisdom is knowing that you know nothing.	Socrates	
Pride is a master of deception: when you think you're occupied in the weightiest business, that's when he has you in his spell.	Marcus Aurelius	
Change and flux constantly remake the world, just as the incessant progression of time remakes eternity.	Marcus Aurelius	
Old sins cast long shadows.	Joan Gidding	
What injures the hive injures the bee.	Marcus Aurelius	
Cheating is often more efficient.	Seven of Nine	Startrek: Voyager
The world of reality has its limits; the world of imagination is boundless.	Jean Jacques Rousseau	
The best investment you will ever make is in yourself	Habit Nest	
The only Zen you find on tops of mountains is the Zen you bring there.	Robert M. Pirsig	
Autumn is a second spring when every leaf is a flower.	Albert Camus	
Humankind differs from the animals only by a little, and most people throw that away.	Confucius	
Life is really simple, but we insist on making it complicated.	Confucius	
In this world there are only two tragedies. One is getting what one wants and the other is not getting it.	Oscar Wilde	
The real voyage of discovery consists not in seeking new lands but seeing with new eyes.	Marcel Proust	
Let us be grateful to people who make us happy; they are the charming gardeners who make our souls blossom.	Marcel Proust	
Happiness is beneficial for the body, but it is grief that develops the powers of the mind.	Marcel Proust	
We don't receive wisdom; we must discover it for ourselves after a journey that no one can take for us or spare us.	Marcel Proust	
If a little dreaming is dangerous, the cure for it is not to dream less but to dream more, to dream all the time.	Marcel Proust	
Rather fail with honour than to succeed by fraud.	Sophocles	
Love is space and time measured by the heart.	Marcel Proust	
Man is born free, but everywhere he is in chains.	Jean Jacques Rousseau	
Let us leave the beautiful women to men with no imagination.	Marcel Proust	
Illness is the doctor to whom we pay most heed; to kindness, to knowledge, we make promise only; pain we obey.	Marcel Proust	
We are healed from suffering only by experiencing it to the full.	Marcel Proust	
Like many intellectuals, he was incapable of saying a simple thing in a simple way.	Marcel Proust	
Remembrance of things past is not necessarily the rememberance of things as they were.	Marcel Proust	
It is our imagination that is responsible for love, not the other person.	Marcel Proust	
I'm monogamous in all my relationships	Esther Perel	
Even when laws have been written down, they ought not always to remain unaltered.	Aristotle	
He who will not economise will have to agonise.	Confucius	
I would rather have questions that can't be answered than answers which can't be questioned.	Richard Feynman	
Everything in the world is about sex except sex. Sex is about power.	Oscar Wilde	
It is possible to fail in many ways...while to succeed is possible only in one way.	Aristotle	
You are never more likely to make a grammatical error than when correcting someone else's grammar.	The iron law of nitpicking	
If you write anything criticizing editing or proofreading, there will be a fault of some kind in what you have written.	Muphry's Law	
Moderation is the secret of survival.	Manly Hall	
The world is nothing but change. Our life is only perception.	Marcus Aurelius	
Getting over yourself offers exceptional returns.	Shane Parrish	
The envious person grows lean with the fatness of their neighbour.	Socrates	
To begin, begin.	William Wordsworth	
Growth begins when we begin to accept our own weakness.	Jean Vanier	
Be not ashamed of mistakes and thus make them crimes.	Confucius	
It is greed to do all the talking but not to want to listen at all.	Democritus	
If you do not create your destiny, you will have your fate inflicted upon you.	William Irwin Thompson	
There was never a genius without a tincture of madness.	Aristotle	
There are no secrets except those that keep themselves.	George Bernard Shaw	
The energy of the mind is the essence of life.	Aristotle	
A market is never saturated with a good product, but it is very quickly saturated with a bad one.	Henry Ford	
We are never definitely right, we can only be sure we are wrong.	Richard Feynman	
At first, people refuse to believe that a strange new thing can be done, then they begin to hope it can be done, then they see it can be done - then it is done, and all the world wonders why it was not done centuries ago.	Frances Hodgson Burnett	
I am long on ideas, but short on time. I expect to live only about a hundred years.	Thomas Edison	
There is no dependence that can be sure but a dependence on one's self.	John Gray	
People would do better, if they knew better.	Jim Rohn	
Our plans miscarry because they have no aim. When a man does not know what harbor he is making for, no wind is the right wind.	Seneca	
Time discovers truth.	Seneca	
An unexamined life is not worth living.	Socrates	
None of us is forbidden to pursue our own good.	Marcus Aurelius	
Responsibility is the price for greatness.	Winston Churchill	
Always pitty the thinkers, for they are always cursed with their imaginations.	Atticus	
If you don't find a way to make money while you sleep you will work till you die.	Warren Buffett	
Life is too short and we all die alone.	Unknown	
How much more damage anger and grief do than the things that cause them.	Marcus Aurelius	
Hope is a poor hedge	Unknown	
He who dares not offend cannot be honest.	Thomas Paine	
Maturity consists in having rediscovered the seriousness one had as a child at play.	Friedrich Nietzsche	
The young are permantely in a state resembling intoxication.	Aristotle	
If death was the end of all, the wicked would have a good bargain in dying.	Socrates	
The world is changed by your example, not by your opinion.	Paulo Coelho	
Nihil nisi bonum- of the dead speak no evil	Latin phrase	
Primum non nocere- first do no harm	Latin Phrase	
He who establishes his argument by noise and command, shows that his reason is weak.	Michel de Montaigne	
Memory is the treasury and guardian of all things.	Cicero	
On matters of style swim with the current, but on matters of principle, stand like a rock.	Thomas Jefferson	
Great grief does not of itself put an end to itself.	Seneca	
Then imitate the action of a tiger. Stiffen the sinews, summon up the blood.	Shakespeare	
Advice is what we ask for when we already know the answer but wish we didn't.	Jong	
In all things of nature there is something of the marvellous.	Aristotle	
All religions must be tolerated, for every man must get to heaven in his own way.	Epictetus	
The art of dining well is no slight art, the pleasure not a slight pleasure.	Michel de Montaigne	
I measure the strength of a spirit by how much truth it can take.	Friedrich Nietzsche	
A child of five could understand this. Send someone to fetch a child of five.	Groucho Marx	
f you think of the world as a place intended simply for your happiness, you find it quite intolerable.	C.S. Lewis	
I never admire another's fortune so much that I became dissatisfied with my own.	Cicero	
Liberty demands responsibility. That is why most men dread it.	George Bernard Shaw	
If you must play, decide on three things at the start: the rules of the game, the stakes, and the quitting game.	Chinese proverb	
The average man is a conformist, accepting miseries and disasters with the stoicism of a cow standing in the rain.	Colin Wilson	
To be engrossed by something outside ourselves is a powerful antidote for the rational mind, the mind that so frequently has its head up its own ass.	Anne Lamott	
Morality is simply the attitude we adopt toward people we personally dislike.	Oscar Wilde	
There is not enough time to do all the nothing we want to do.	Bill Watterson	
He who is not very strong in memory should not meddle with lying	Michel de Montaigne	
Bear in mind that you should conduct yourself in life as at a feast	Epictetus	
