Text	Author	Source
 It is the sign of a great mind to prefer things in measure to things in excess.	Seneca	
Genius is only a superior power of seeing.	John Ruskin	
I not only use all the brains that I have, but all that I can borrow.	Woodrow Wilson	
The system is the solution.	AT&T	
The power of hiding ourselves from one another is mercifully given, for men are wild beasts, and would devour one another but for this protection.	Henry Ward Beecher	
Nobody can give you freedom. Nobody can give you equality or justice or anything. If you're a man, you take it.	Malcom X	
I can't go on, I'll go on.	Samuel Beckett	
Nothing has more strength than dire necessity.	Euripides	
A schedule defends from chaos and whim.	Annie Dillard	
In lack of judgement great harm arises.	Aeschylus	
By all means marry. If you find a good wife, you'll be happy; if you find a bad one, you'll become a philosopher.	Socrates	
Money is of a prolific generating nature. Money can beget money and it's offspring can beget more.	Benjamin Franklin	
A common danger unites even the bitterest enemies.	Aristotle	
The one who has knowledge uses his words with restraint, and whoever has understanding is eventempered.	Proverbs 17	
Fools have no pleasure in understanding but delight in airing their own opinions.	Proverbs 18	
Learning to ignore things is one of the best paths to inner peace.	Robert J. Sawyer	
There are many things of which a wise man might choose to be ignorant.	Ralph Waldo Emerson	
Ambition is not a vice of little people.	Michel de Montaigne	
Routine, in an intelligent man, is a sign of ambition	W. H. Auden	
Man is not affected by events, but by the view he takes of them	Epictetus	
Love of bustle is not industry	Seneca	
It is not that we have a short space of time, but that we waste much of it.	Seneca	
Ever tried. Ever failed. No matter. Tri again. Fail again. Fail better.	Samuel Beckett	
The existential vacuum manifests itself mainly in a state of boredom.	Viktor Frankl	
Life is too short to be small.	Benjamin Disraeli	
Unless you pay the price for success you will not know it's worth	Apoorve Dubey	
Perfection is not when there is no more to add, but no more to take away.	Antoine de Saint-Exupéry	
It is vain to do with more what can be done with less.	William of Occam	
One does not accumulate. It is not daily increase but daily decrease. The height of cultivation always runs to simplicity.	Bruce Lee	
One who is good of his own free will shall not lack in happiness.	Aeschylus	
Leisure is the mother of philosophy.	Thomas Hobbes	
The rest I keep silent; a great ox stands on my tongue.	Aeschylus	
A kingdom founded on injustice will never last.	Seneca	
Death may be the greatest of all human blessings	Socrates	
In the country of the blind the one eyed man is king.	Desiderius Erasmus	
The best time to plant a tree was 20 years ago. The second best time is now.	Chinese proverb	
An investment in knowledge pays the best interest.	Benjamin Franklin	
The superior man acts before he speaks, and afterwards speaks according to his action.	Confucius	
You are guaranteed zero failures if you never try, but you're also guaranteed zero successes.	Sean McCabe	
No man is free who is not master of himself.	Epictetus	
The summit of happiness is reached when a person is ready to be what he is.	Desiderius Erasmus	
Those that know, do. Those that understand, teach.	Aristotle	
Fine words and an insinuating appearance are seldom associated with true virtue.	Confucius	
All models are wrong, some are useful.	George Box	
Much learning does not teach understanding.	Heraclitus	
Without music, life would be a mistake.	Friedrich Nietzsche	
He who has a why to live for can bear almost any how.	Friedrich Nietzsche	
First, solve the problem. Then, write the code.	John Johnson	
The best solution to a problem is not to have it	Michal Migurski	
What people think of you is none of your business.	Amy Hatvany	
Beauty awakens the soul to act.	Dante	
The time you enjoy wasting is not wasted time.	Bertrand Russell	
The visionary lies to himself, the liar only to others.	Friedrich Nietzsche	
The temptation of our age is to look good without being good.	Brennan Manning	
Few people can be happy unless they hate some other person, nation or creed.	Bertrand Russell	
I would not give a fig for the simplicity this side of complexity, but I would give my life for the simplicity on the other side of complexity.	Oliver Wendell Holmes	
All happy families are alike; each unhappy family is unhappy in its own way.	Leo Tolstoy	Ana Karenina
Programs must be written for people to read, and only incidentally for machines to execute.	Abelson, Sussman, et. al.	
If we offend, it is with our good will that you should think, we come not to offend, but with good will. To show our simple skill, that is the true beginning of our end.	William Shakespeare	A Midsummer Night’s Dream
It's just a job. Grass grows, birds fly, waves pound the sand. I beat people up.	Muhammad Ali	
Virtue is more to be feared than vice, because its excesses are not subject to the regulation of conscience.	Adam Smith	
On the road from the city of skepticism I had to pass through the valley of ambiguity.	Adam Smith	
When it becomes serious, you have to lie.	Jean-Claude Juncker	
Before the Roman came to Rye or out to Severn strode, the rolling English drunkard made the rolling English road.	GK Chesterton	
It is fitting that a liar should be a man of good memory.	Maurcus Fabius Quintilian	
Do. Or do not. There is no try.	Master Yoda	Star Wars
Never attribute to malice that which is adequately explained by stupidity,	Hanlon's razor	
This is a good death. There’s no shame in this. In a man’s death, a man who has done fine works.	The Operative	Serenity
So convenient a thing is it to be a reasonable creature, since it enables one to find or make a reason for everything one had in mind to do.	Benjamin Franklin	
Unfortunately, in human relations, people seek to assign blame and avoid responsibility. But in reality, there is no blame, only responsibility.	Master Bho Li	The Tale of Zen
Software is eating the world.	Marc Andreesen	
We know what we are, but know not what we may be.	William Shakespeare	
You are terminated.	The Terminator	
You're fired!	The Apprentice	
Resistance is futile.	The Borg	Star Trek
Qapla'!	Klingon phrase	
Live long and prosper.	Vulcan phrase	
Go forth and multiply.	Genesis 1:21,28; 9:1 (paraphrased)	The Bible
Rosebud.	Citizen Kane	
Today is a good day to die.	Klingon phrase	
Logic will get you from A to B. Imagination will take you everywhere.	Albert Einstein	
Everybody's got a plan. Then they get hit.	Mike Tyson	
Though this be madness, yet there is method in't.	William Shakespeare	The tragedy of Hamlet, Prince of Denmark
That will prove awful both in deed and word.	William Shakespeare	Pericles, Prince of Tyre
And, I pray thee now, tell me for which of my bad parts didst thou first fall in love with me?	William Shakespeare	Much ado about nothing
You must learn a new way to think before you can master a new way to be.	Marianne Williamson	
No one gossips about other people's secret virtues.	Bertrand Russell	
The good or ill of man lies within his own will.	Epictetus	
I do not enlighten those who are not eager to learn, nor arouse those who are not anxious to give an explanation themselves. If I have presented one corner of the square and they cannot come back to me with the other three, I should not go over the points again	Confucius	
There is no such uncertainty as a sure thing.	Robert Burns	Collected Poems of Robert Burns
But to see her was to love her, love but her, and love forever.	Robert Burns	
I am little acquainted with politeness, but I know a good deal of benevolence of temper and goodness of heart.	Robert Burns	The Letters Of Robert Burns
To be free of conflict you need to have no friends.	Nassim Ben Taleb	
Do not go gentle into that good night.	Dylan Thomas	
Do all the good you can, by all the means you can, in all the ways you can, in all the places you can, at all the times you can, to all the people you can, as long as ever you can.	John Wesley	
The more they overthink the plumbing, the easier it is to stop up the drain.	Scotty	Star Trek
Your representative owes you, not his industry only, but his judgment; and he betrays, instead of serving you, if he sacrifices it to your opinion.	Edmund Burke	
Any man can make mistakes, but only an idiot persists in his error.	Cicero	
He who does not understand your silence will probably not understand your words.	Elbert Hubbard	
The fault, dear Brutus, is not in our stars, But in ourselves, that we are underlings.	Cassius	Julius Caesar (William Shakespeare)
Any application that can be written in JavaScript, will eventually be written in JavaScript.	Atwood's Law	
I think the surest sign that intelligent life exists elsewhere in the universe is that none of it has tried to contact us.	Bill Watterson	
So make your exit with grace - the same grace shown to you.	Marcus Aurelius	`
And when it rains on your parade, look up rather than down. Without the rain, there would be no rainbow.	Gilbert K. Chesterton	
All that really belongs to us is time; even he who has nothing else has that.	Baltashar Gracian	
Sleep that knits up the raveled sleeve of care, The death of each day’s life, sore labour’s bath, Balm of hurt minds, great nature’s second course, Chief nourisher in life’s feast.	William Shakespeare	Macbeth
Nothing great was ever done without much enduring.	St. Catherine of Siena	
The quieter you become the more you can hear.	Ram Das	
Every storm is a school. Every trial is a test. Every experience is an education. Every difficulty is for your development.	Lance Watson	
When you have accomplished your daily task, go to sleep in peace; God is awake.	Victor Hugo	
If you want to kill any idea in the world, get a committee working on it	Charles Kettering	
Effort is only effort when it begins to hurt	Jose Ortega Gasset	
They travel lightly whom God's grace carries	Thomas a Kempis	
Now is the time for all good men to come to the aid of the party	Charles E. Welter	
In a gentle way can shake the world	Mahatma Gandhi	
Question everything. Learn something. Answer nothing.	Euripides	
Those of you who are inclined to worry have the widest selection in history	Mark Twain	
Be a pragmatist - not a fundamentalist. Never commit to an idea, only to progress and results.	Martin Berkhan	
Buy when the there's blood on the streets, even if the blood is your own	Baron Rothschild	
I quote others only in order the better to express myself	Michel de Montaigne	
Conquering others takes force. Conquering yourself is true strength.	Lao-tzu	
The saddest words of mice and men are these: it might have been.	A poet	
Hope is a waking dream	Aristotle	
He who learns must suffer. And even in our sleep, pain that cannot forget falls drop by drop upon the heart. And in our own despair, against our will, comes wisdom to su by the awful grace of God.	Aeschylus	
Everyone thinks of changing the world, but no one thinks of changing himself.	Leo Tolstoy	
The things that matter the most must never be at the mercy of the things that matter the least.	Goethe	
It is a psychological law that whatever we wish to accomplish we must impress on the subjective or subconscious mind.	Orison Swett Marden	
Whatever you can hold in your mind on a continuing basis, you can have.	John Boyle	
Live to the point of tears.	Albert Camus	
Make the best use of what is in your power, and take the rest as it happens.	Epictetus	
The secret of getting ahead is getting started.	Mark Twain	
I have discovered that all human evil comes from this, man's being unable to sit still in a room.	Blaise Pascal	
Silence is more eloquent than words.	Thomas Carlyle	
Get at least eight hours of beauty sleep. Nine if you're ugly.	Betty White	
Better a diamond with a flaw than a pebble without.	Confucius	
You always admire what you really don't understand.	Blaise Pascal	
Money is like manure. It is not good unless it's spread.	Francis Bacon	
Envy is the ulcer of the soul.	Socrates	
Dreams don't work unless you do.	Unknown	
Death is nothing to us, since when we are, death has not come, and when death has come, we are not.	Epicurus	
We only know of one duty, and that is to love.	Albert Camus	
Poverty of goods is easily cured; poverty of soul, impossible.	Michel de Montaigne	
We are always in our own company.	Friedrich Nietzsche	
Imagination decides everything.	Blaise Pascal	
So very difficult a matter is it to trace and find out the truth of anything by history.	Plutarch	
The essence of knowledge is, having it, to apply it; not having it, to confess your ignorance.	Confucius	
No man is exempt from saying silly things; the mischief is to say them deliberately.	Michel de Montaigne	
The man who insists on seeing with perfect clearness before he decides, never decides.	Henri Frederic Amiel	
By hating that person, you have lost something very sweet in yourself.	Sri Chinmoy	
Real knowledge is to know the extent of one's ignorance.	Confucius	
By definition, a government has no conscience. Sometimes it has policy, but nothing more.	Albert Camus	
The ideal man bears the accidents of life with dignity and grace, making the best of circumstance.	Aristotle	
The real world is much smaller than the imaginary.	Friedrich Nietzsche	
A confession has to be part of your new life.	Ludwig Wittgenstein	
Everyone would like to behave like a pagan, with everyone else behaving like a Christian.	Albert Camus	
Immaturity is the incapacity to use one's intelligence without the guidance of another.	Immanuel Kant	
The end of life is to be like God, and the soul following God will be like Him.	Socrates	
What a peculiar privilege has this little agitation of the brain which we call 'thought'.	David Hume	
The expert in anything was once a beginner.	Germany Kent	
One should die proudly when it is no longer possible to live proudly.	Friedrich Nietzsche	
It is natural to give a clear view of the world after accepting the idea that it must be clear.	Albert Camus	
Sincerity is the way of Heaven.	Mencius	
If a man is proud of his wealth, he should not be praised until it is known how he employs it.	Socrates	
Hope is only the love of life.	Henri Frederic Amiel	
Pleasure in the job puts perfection in the work.	Aristotle	
He who is not contented with what he has, would not be contented with what he would like to have.	Socrates	
Happiness is not a destination; it is a way of life.	Unknown	
A prudent question is one half of wisdom.	Sir Francis Bacon	
Truth is not only violated by falsehood; it may be equally outraged by silence.	Henri Frederic Amiel	
There is only one good, knowledge, and one evil, ignorance.	Socrates	
Not to be absolutely certain is, I think, one of the essential things in rationality.	Bertrand Russell	
Few things are impossible to diligence and skill; great works are performed not by strength, but by perseverance.	Samuel Johnson	
Genius is the ability to put into effect what is in your mind. There is no other definition for it.	F. Scott Fitzgerald	
We cannot spend our day in explanation.	Emerson	
Man can alter his life by altering his thinking.	William James	
In his errors a man is true to type. Observe the errors and you will know the man.	Confucius	
Thinking is like loving or dying. Each of us must do it for ourselves.	Josiah Royce	
Our greatest glory is not in never falling, but in rising every time we fall.	Confucius	
There is no failure except in no longer trying. There is no defeat except from within, no really insurmountable barrier save		
our own inherent weakness of purpose.	Elbert Hubbard	
Adversity has the effect of drawing out strength and qualities of a man that would have lain dormant in its absence.	Herodotus	
Happiness is a state of activity.	Aristotle	
Death is a friend of ours; and he that is not ready to entertain him is not at home.	Sir Francis Bacon	
To be prepared against surprise is to be trained. To be prepared for surprise is to be educated.	James Carse	Finite and Infinite Games
Imagination was given to man to compensate for what he is not. A sense of humour to console him for what he is.	Unknown	
If you want to improve, be content to be thought foolish and stupid.	Epictetus	
First say to yourself what you would be; and then do what you have to do.	Epictetus	
Many people would rather die than think; in fact, most do.	Bertrand Russell	
War is delightful to those who have no experience of it.	Desiderius Erasmus	
Any man who tries to be good all the time is bound to come to ruin among the great number who are not good.	Niccolo Machiavelli	
Hope is a good breakfast but a bad supper.	Sir Francis Bacon	
I care not so much what I am to others as what I am to myself.	Michel de Montaigne	
Better a diamond with a flaw than a pebble without.	Confucius	
Forget injuries; never forget kindness.	Confucius	
It is the nature of desire not to be satisfied, and most men live only for the gratification of it.	Aristotle	
To be without some of the things you want is an indispensable part of happiness.	Bertrand Russell	
Happiness depends upon ourselves.	Aristotle	
The superior man is satisfied and composed; the mean man is always full of distress.	Confucius	
The real problem of humanity ... we have Palaeolithic emotions; medieval institutions; and godlike technology.	E. O. Wilson	
Nothing exists except atoms and empty space; everything else is opinion.	Democritus	
Knowledge, if it does not determine action, is dead to us.	Plotinus	
Life can only be understood backwards, but it must be lived forwards.	Albert Camus	
Love is a state in which a man sees things most decidedly as they are not.	Friedrich Nietzsche	
And in knowing that you know nothing, that makes you the smartest of all.	Socrates	
Let the first impulse pass. Wait for the second.	Baltasar Gracian	
All wealth is the product of labor	John Locke	
The people may be made to follow a path of action, but they may not be made to understand it.	Confucius	
I've formed the habit of liking you.	F. Scott Fitzgerald	Head and Shoulders
Age carries away all things, even the mind.	Virgil	
The struggle ends when the gratitude begins.	Neale Donald Walsch	
Emptiness is the fasting of the mind.	Zhuangzi	
If we are to understand how the world really works, we need to understand the big ideas and how they work.	Charlie Munger	
When you think everything is someone else's fault you will suffer a lot.	Dalai Lama	
You may have to fight a battle more than once to win it.	Margaret Thatcher	
By three methods we may learn wisdom: First, by reflection, which is nobles; Second, by imitation, which is easiest; and third by experience, which is the bitterest.	Confucius	
One person with a belief is equal to a force of 99 who only have interests.	John Stuart Mill	
People demand freedom of speech as a compensation for freedom of thought, which they seldom use.	Soren Kiekegaard	
Freedom of speech is useless without freedom of thought.	Spiro	
Men who are unhappy, like men who sleep badly, are always proud of the fact.	Bertrand Russell	
In charity there is no excess.	Sir Francis Bacon	
Without courage, wisdom bears no fruit	Baltasar Gracian	
The desire to write grows with writing.	Desiderius Erasmus	
They must often change who would be constant in happiness or wisdom.	Confucius	
Love knows not its own depth until the hour of separation.	Kahlil Gibran	
Experience is what you get when you didn't get what you wanted.	Howard Marks	
If you've been playing poker for half an hour and you still don't know who the patsy is, you're the patsy.	Warren Buffett	
Wordly wisdom teaches that it is better for reputation to fail conventionally than to succeed unconventionally.	John Maynard Keynes	
The map is not the territory.	Korzybski	
To Thales the primary question was not what do we know, but how do we know it.	Aristotle	
Autumn is a second spring when every leaf is a flower.	Albert Camus	
Time discovers truth.	Seneca	
Not everything that counts can be counted, and not everything that can be counted counts.	Albert Einstein	
Your pain is the breaking of the shell that encloses your understanding.	Kahil Gibran	
The power of instruction is seldom of much efficacy, except in those happy dispositions where it is almost superfluous.	Edward Gibbon	
God is not willing to do everything, and take away that share of glory that belongs to us.	Machiavelli	
Don't fear moving slowly. Fear standing still.	Chines proverb	
Focus is about saying no.	Steve Jobs	
No man who ever held the office of President would congratulate a friend on obtaining it.	John Adams	
Most interesting phenomena have multiple causes.	N. P. Calderwood	
The best writing is rewriting.	E.B. White	
The greatest dangers to liberty lurk in insidious encroachment by men of zeal, well-meaning but without understanding.	Brandeis	
Don't worry about what anybody else is going to do. The best way to predict the future is to invent it.	Alan Kay	
Short words are best and the old words when short are best of all.	Sir Winston Churchill	
Change breaks the brittle.	Jan Houtema	
The less confident you  are, the more serious you have to act.	Tara Ploughman	
All good things are wild and free.	Henry David Thureau	
How many people work in the Vatican? About half.	Vatican anectode	
Man is most nearly himself when he achieves the seriousness of a child at play.	Heraclitus	
I was seldom able to see an opportunity until it had ceased to be one.	Mark Twain	
If your ship doesn't come swim out to meet it.	Jonathan Winters	
When faced with competing alternative courses of action or competing conclusions, choose the one that rests upon the fewest assumptions.	Occam's razor	
Most men die at 27. We just bury them at 72.	Mark Twain	
One repays a teacher badly if one always remains nothing but a pupil.	Friedrich Nietzsche	
The past is certain, the future obscure.	Thales	
What is a friend? A single soul dwelling in two bodies.	Aristotle	
I can show you where to dig, and what to dig for, but the digging you must do for yourself.	Matisyahu	
All paid jobs absorb and degrade the mind.	Aristotle	
The most painful state of being is remembering the future, particularly the one you'll never have.	Soren Kiekegaard	
There is nothing permanent except change.	Heraclitus of Ephesus	
It is the chiefest point of happiness that a man is willing to be what he is.	Desiderius Erasmus	
Much learning does not teach understanding.	Heraclitus	
The self is not something ready-made, but something in continuous formation through choice of action.	John Dewey	
If you care about what other people think, you will always be their prisoner.	James Frey	
The two greatest warriors are patience and time.	Leo Tolstoy	
Be careful when you fight the monsters, lest you become one.	Friedrich Nietzsche	
Nothing is more honourable than a grateful heart.	Seneca	
A wise man gets more use from his enemies than a fool from his friends.	Baltasar Gracian	
To understand is to be free.	Spinoza	
From a seed a mighty trunk may grow.	Aeschylus	
No one heals himself by wounding another.	Ambrose	
The actions of men are the best interpreters of their thoughts.	John Locke	
In order to succeed your desire for success should be greater than your fear of failure.	Anonymous	
Each heart knows its own bitterness, and no one else can share its joy.	The Book of Proverbs	
The mind unlearns with difficulty what it has long learned.	Seneca	
Life is short, art long, opportunity is fleeting, experience is treacherous, and judgment is difficult.	Hypocrites	
Hofstadter's Law: It always takes longer than you expect, even when you take into account Hofstadter's Law.	Douglas Hofstadter	
We are what we repeatedly do. Excellence, then, is not an act, but a habit.	Aristotle	
We live but for a moment.	Marcus Aurelius	
It is possible to commit no mistakes and still lose. That is not a weakness; that is life.	Jean-Luc Picard	
Only the educated are free.	Epictetus	
If a man takes no thought what is distant, he will find sorrow near at hand.	Confucius	
It doesn't matter how slowly you go as long as you don't stop.	Confucius	
If you put fences around people, you get sheep.	William L. McKnight	
We make war that we may live in peace.	Aristotle	
Mothers are fonder than fathers of their children because they are more certain they are their own.	Aristotle	
Honour is the reward of virtue	Cicero	
If you do the work, you will be rewarded. There are no shortcuts in life.	Michael Jordan	
Problems worth solving will present themselves. There's no need to invent busywork.	Picard management tips	
We shall never have more time. We have, and have always had, all the time there is.	Arnold Bennett	How to live on 24 hours a day
The man who dares to waste an hour of time has not discovered the value of his life.	Charles Darwin	
The impediment to action advances action. What stands in the way becomes the way.	Marcus Aurelius	
There is no more miserable human being than the one for whom the beginning of every bit of work must be decided anew each day.	William James	
Know that no one is free, except Zeus.	Aeschylus	
Hard work isn't enough, and more work is never the real answer.	Reid Hoff	
Fall seven, rise eight.	Japanese saying	
Self-control in a man who does not act wisely is the weakest of all things.	Aeschylus	
Growth begins when we begin to accept our own weakness.	Jean Vanier	
Last words are for people who haven't said anyting in life.	Karl Marx	
Poverty of goods is easily cured; poverty of soul, impossible.	Michel de Montaigne	
We do not judge the people we love.	Jean-Paul Sartre	
A youth is to be regarded with respect. How do we know that his future will not be equal to our present?	Confucius	
To be a hero or a heroine, one must give an order to oneself.	Simone Weil	
Not life, but good life, is to be chiefly valued.	Socrates	
Never listen to people who speak badly of others and good of you.	Tolstoy	
Much that passes as idealism is disguised hatred or disguised love of power.	Bertrand Russell	
Children have never been very good at listening to their elders, but they have never failed to imitate them.	James Baldin	
Ignorance is the night of the mind, but a night without moon and star.	Confucius	
Truth uttered before its time is always dangerous.	Mencius	
What you are must always displease you, if you would attain to that which you are not.	Augustine	
It is not titles that honour men, but men that honour titles.	Machiavelli	
A man who tosses worms in the river isn't necessarily a friend of the fish.	Malcom X	
There is no conversation more boring than the one where everybody agrees.	Michel de Montaigne	
If you find a path with no obstacles it probably doesn't lead anywhere.	Frank Clark	
There is no such thing as the view from nowhere or from everywhere, for that matter. Our point of view biases our observation, consciously or unconsciously. You cannot understand the view without the point of view.	Noam Shpancer	
A rabbit runs faster than a fox because it is running for his life while the fox is only running for his dinner. Richard Dawkins		
He who begins being a friend for the sake of expediency will also stop for the sake of expediency.	Seneca	
A wise man gets more use from his enemies than a fool from his friends.	Baltasar Gracian	
War does not determine who is right, only who is left.	Bertrand Russell	
He who speaks without modesty will find it difficult to make his words good.	Confucius	
Inspiration is for amateurs.	Chuck Close	
If your plan is for one year plant rice. If your plan is for ten years plant trees. If your plan is for one hundred years educate children.	Confucius	
Love is the attempt to form a friendship inspired by beauty.	Cicero	
All the tyrants of Sicily never invented a worse torment than envy.	Horace	
All exact science is dominated by the idea of approximation.	Bertrand Russell	
An error is the more dangerous the more truth it contains.	Henri Frederic Amiel	
Government can exist without laws, but law cannot exist without government.	Bertrand Russell	
I've never known any trouble that an hour's read didn't assuage.	Charles de Secondat	
Instead of imagining that our main task is to instruct a computer what to do, let us concentrate rather on explaining to human beings what we want a computer to do.	Donald Knuth	
Dost thou love life? Then do not squander time; for that's the stuff life is made of.	Benjamin Franklin	
You are the easiest person to fool.	Richard Feynman	
A little learning is a dangerous thing; drink deep, or taste not the Pierian spring: There shallow draughts intoxicate the brain, and drinking largely sobers us again.	Alexander Pope	
If you only read the books that everyone else is reading, you can only think what everyone else is thinking.  Haruki Murakami		
A wealth of information creates a poverty of attention.	Herbert Simon	
What is life, if full of care, we have not time to stop and stare.	W.H. Davies	
Life is difficult.	M. Scott Peck	The road less travelled
When brothers agree, no fortress is so strong as their common life.	Antisthenes	
Even the king in his riches does not escape death.	Aeschylus	
The most profound joy has more of gravity than of gaiety in it.	Michel de Montaigne	
Blushing is the colour of virtue.	Diogenes Laertius	
Cleverness is not wisdom.	Euripides	
Kindly words do not enter so deeply into a men as a reputation for kindness.	Mencius	
From a small seed a mighty trunk may grow.	Aeschylus	
We know truth, not only reason, but also by the heart.	Blaise Pascal	
Perserver and perserver yourselves for better circumstances.	Virgil	
An object in possession seldom retains the same charm it had in pursuit.	Pliny the Younger	
Having the fewest wants, I am nearest to the gods.	Socrates	
Words are doctors to a diseased temperament.	Aeschylus	
Managers who don't know to measure what they want settle for wanting what they can measure.	Russell Ackoff	
Everything new comes from some other beginning's end.	Seneca	
Poverty is the parent of revolution and crime.	Aristotle	
Know not to revere human things too much.	Aeschylus	
The firm, the enduring, the simple and the modest are near to virtue.	Confucius	
A man of understanding has lost nothing, if he has himself.	Michel de Montaigne	
The fox has many tricks. The hedgehog has but one. But that is the best of all.	Desiderius Erasmus	
You cannot truly listen to anyone and do anything else at the same time.	M. Scott Peck	
There is no greater concurrence between learning and wisdom.	Sir Francis Bacon	
Pleasure is the beginning and the end of living happily.	Epicurus	
Do not ask for what you will wish you had not got.	Seneca	
The higher you climb on the mountain, the harder the wind blows.	Sam Cummings	
Freedom of opinion can only exist when the government thinks itself secure.	Bertrand Russell	
Men never do evil so completely and cheerfully as when they do it from a religious conviction.	Blaise Pascal	
If the only prayer you ever say in your whole life is 'thank you', that would suffice.	Meister Eckhart	
The smile is the beginning of love.	Mother Teresa	
Learn to be happy with what you have while you pursue all that you want.	Jim Rohn	
It is hard to fight against emotion, but harder still to fight against pleasure.	Heraclitus	
I have taken all knowledge to be my province.	Sir Francis Bacon	
Again, men in general desire the good, and not merely what their fathers had.	Aristotle	
These are not the problems associated with the ministry, they are the ministry.	Bishop of Kensington	
To find yourself, think for yourself.	Socrates	
The measure of who we are is how we react to something that doesn't go our way.	Gregg Popovich	
I care not so much what I am to others as what I am to myself.	Michel de Montaigne	
The most necessary learning is that which unlearns evil.	Antisthenes	
Come what may, all bad fortune is to be conquered by endurance.	Virgil	
In health there is freedom. Health is the first of all liberties.	Henric Frederic Amiel	
To forget one's purpose is the commonest form of stupidity.	Friedrich Nietzsche	
Evil when we are in its power is not felt as evil but as a necessity, or even a duty.	Simone Weil	
But what is happiness except the simple harmony between a man and life he leads?	Albert Camus	
Even in civilized mankind faint traces of monogamous instincts can be perceived.	Bertrand Russell	
Reading maketh a full man, conference a ready man, and writing an exact man.	Sir Francis Bacon	
Life is neither good or evil, but only a place for good or evil.	Marcus Aurelius	
He who controls others may be powerful, but he who has mastered himself is mightier still.	Lao-tzu	
Before you embark on a journey of revenge, dig two graves.	Confucius	
Men despise religion. They hate it and are afraid it may be true.	Blaise Pascal	
First learn the meaning of what you say and then speak.	Epictetus	
Socialism is nothing but the capitalism for the lower classes.	Oswald Spengler	
Thou shouldest eat to live, not live to eat.	Socrates	
Thrift is of great revenue.	Cicero	
How will you ever be polished if you are irritated by every rub?	Rumi	
Be kind, for everyone you meet is fighting a harder battle.	Plato	
Trust one who has tried.	Virgil	
Man is not a rational animal he is a rationalizing animal.	Robert A. Heinlein	
We are twice armed if we fight with faith.	Plato	
Who is blind, dumb and deaf will live a peaceful life of a hundred years.	Siddha Nagarjuna	
Originality is the one thing which unoriginal minds cannot feel the use of.	John Stuart Mill	
As soon as there is life there is danger.	Ralph Waldo Emerson	
Bad mind, bad heart.	Anacharsis	
Strangers are simply friends who have not yet met.	William Butler Yeats	
Speak your truth quietly and clearly.	Desiderata	
Complexity is failed simplicity.	Edward de Bono	
An expert is a person who has made all the mistakes that can be made in a very narrow field.	Niels Bhor	
Anyone who lives within their means suffers from a lack of imagination.	Oscar Wilde	
Whenever you find yourself on the side of the majority it is time to reflect.	Mark Twain	
Ordinarily he was insane, but he had lucid moments when he was merely stupid.	Heinrich Heine	
Reality is an illusion, albeit a very persistent one.	Albert Einstein	
Be silent, or say something better than silence	Pythagoras	
The reasonable man adapts himself to the world; the unreasonable one persists in trying to adapt the world to himself. Therefore all progress depends on the unreasonable man.	George Bernard Shaw	
It is not a lack of love, but a lack of friendship that makes unhappy marriages.	Friedrich Nietzsche	
Action may not bring happiness, but there can be no happiness without action.	Benjamin Disraeli	
Keep your eyes open before marriage, and half shut afterwards.	Benjamin Disraeli	
The first principle is that you must not fool yourself, and you are the easiest person to fool.	Richard Feynman	
The stupidity of people comes from having an answer for everything. The wisdom of the novel comes from having a question for everything.	Milan Kundera	
Pleasure in the job puts perfection in the work.	Aristotle	
Those who talk should do and only those who do should talk.	Sextus Empiricus	Against the Professors
The future ain't what it used to be.	Yogi Berra	